"paper_id","corpus","recipe_id","sample_id","normalization_trace_id","data_quality_tier","system_tag","route","unknown_route_flag","route_inferred_flag","T_growth_C","time_min","PL_peak_nm_final","PL_peak_nm_core","measurement_state","notes_text","stage_source","shell_present_flag","postprocess_present_flag","shell_presence_ambiguity_flag","ratio_reported_flag","ratio_definition_type","precursor_purity_reported_flag","injection_rate_reported_flag","process_sensitive_reporting_flag","caution_count","QY_percent_final","FWHM_nm_final"
"L003","InP (L-series)","NR-L003-01","L003-S01","TRC-L003-01","literature_structured","InP-In(Zn)P/ZnSe/ZnS","hot_injection","no","no","240","5","569","","final_purified","569nm; Sec 2.3+2.4; hold-free; highest confidence","main_text","1","0","0","0","","0","0","0","0","82","43"
"L003","InP (L-series)","NR-L003-02","L003-S02","TRC-L003-02","literature_structured","InP-In(Zn)P/ZnSe/ZnS","hot_injection","no","no","270","5","588","","final_purified","588nm; thin ZnSe unknown","main_text","1","0","0","0","","0","0","0","0","87.7","44"
"L003","InP (L-series)","NR-L003-03","L003-S03","TRC-L003-03","literature_structured","InP-In(Zn)P/ZnSe/ZnS","hot_injection","no","no","270","5","601","","final_purified","601nm; P2 at 270C no cool-down; thin ZnSe unknown; main sample","main_text","1","0","0","0","","0","0","0","0","94.3","43"
"L003","InP (L-series)","NR-L003-04","L003-S04","TRC-L003-04","literature_structured","InP-In(Zn)P/ZnSe/ZnS","hot_injection","no","no","270","5","616","","final_purified","616nm; P injection count unknown; boundary flagged","main_text","1","0","0","0","","0","0","0","0","83.1","50"
"L003","InP (L-series)","NR-L003-05","L003-S05","TRC-L003-05","literature_structured","InP-In(Zn)P/ZnSe/ZnS","hot_injection","no","no","270","5","630","","final_purified","630nm; P injection count unknown; boundary flagged","main_text","1","0","0","0","","0","0","0","0","94.3","56"
"L005","InP (L-series)","NR-L005-01","L005-ZnS10","TRC-L005-01","literature_structured","InP/ZnSe/ZnS","hot_injection_layer_by_layer","","","290","3","607","","final_purified","BEST: 10-layer ZnS; PLQY 73%; conditions_inferred:ZnS_injection_count; PL_peak_approximate","main_text","1","","","","","","","1","0","73","48"
"L005","InP (L-series)","NR-L005-02","L005-S01","TRC-L005-02","literature_structured","InP/ZnSe/ZnS","hot_injection_layer_by_layer","","","290","3","606","","final_purified","Table S1 Sample 1; shell_layers_unknown; conditions_inherited","table","1","","","","","","","","0","51","55"
"L005","InP (L-series)","NR-L005-03","L005-S02","TRC-L005-03","literature_structured","InP/ZnSe/ZnS","hot_injection_layer_by_layer","","","290","3","607","","final_purified","Table S1 Sample 2; shell_layers_unknown; conditions_inherited","table","1","","","","","","","","0","60","51"
"L005","InP (L-series)","NR-L005-04","L005-S03","TRC-L005-04","literature_structured","InP/ZnSe/ZnS","hot_injection_layer_by_layer","","","290","3","607","","final_purified","Table S1 Sample 3; shell_layers_unknown; conditions_inherited","table","1","","","","","","","","0","65","49"
"L006","InP (L-series)","NR-L006-01","L006-S01","TRC-L006-01","literature_structured","InP/ZnSe/ZnS","heating_up_then_SILAR_shell","","no","305","2","535","","final_purified","InP/ZnSe/ZnS no Zn in core; PL_peak_approximate; QY_lower_bound_or_approximate (>50%); fwhm 43nm; zinc stearate shell method; medium-low candidate","main_text","1","0","0","0","","0","0","0","0","50","43"
"L006","InP (L-series)","NR-L006-02","L006-S02","TRC-L006-02","literature_structured","In(Zn)P/ZnSe/ZnS","one_pot_InZn_then_SILAR_shell","","no","305","2","535","","final_purified","BASE RECIPE; In(Zn)P Zn:In=0.5; fwhm 38nm; QY_upper_bound (up to 71%); PA=0.575mmol; strongest candidate; In(Zn)P_boundary:Zn_role_ambiguous_surface_or_alloy","main_text","1","0","0","0","","0","0","1","0","71","38"
"L006","InP (L-series)","NR-L006-03","L006-S03","TRC-L006-03","literature_structured","In(Zn)P/ZnS","one_pot_InZn_then_ZnS_shell","","no","305","2","488","","final_purified","In(Zn)P/ZnS (ZnS-only shell; TOP-S replaces TOP-Se); TMS3P=0.1205mmol; fwhm 35nm; QY 44%; system_tag differs from S02/S04/S05; separate shell system","main_text","1","0","0","0","","0","0","1","0","44","35"
"L006","InP (L-series)","NR-L006-04","L006-S04","TRC-L006-04","literature_structured","In(Zn)P/ZnSe/ZnS","one_pot_InZn_then_SILAR_shell","","no","305","2","516","","final_purified","PA=0.525mmol variant (less PA); fwhm 36nm; QY 67%; conditions_inherited from S02 base; shell identical to S02; In(Zn)P_boundary:Zn_role_ambiguous","main_text","1","0","0","0","","0","0","1","0","67","36"
"L006","InP (L-series)","NR-L006-05","L006-S05","TRC-L006-05","literature_structured","In(Zn)P/ZnSe/ZnS","one_pot_InZn_then_SILAR_shell","","no","305","2","552","","final_purified","PA=0.625mmol variant (more PA); fwhm 40nm; QY 60%; conditions_inherited from S02 base; shell identical to S02; In(Zn)P_boundary:Zn_role_ambiguous","main_text","1","0","0","0","","0","0","1","0","60","40"
"L006","InP (L-series)","NR-L006-06","L006-S06","TRC-L006-06","literature_structured","InP/ZnSe/ZnS","SILAR_core_growth_then_SILAR_shell","","no","305","2","621","","final_purified","SILAR 5-layer InP core (~3nm) + ZnSe/ZnS; fwhm 44nm; QY=blank (figure_only not promoted); no Zn in core; scaled-up shell amounts","main_text","1","0","0","0","","0","0","1","0","","44"
"L007","InP (L-series)","NR-L007-01","L007-ZnS04","TRC-L007-01","literature_structured","InP/ZnS","modified_SILAR","","no","178","840","569","","final_purified","4 SILAR iter ZnS; 1.1 ML; diam 2.9nm; FWHM 64nm; QY_SI_table_pending [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","64"
"L007","InP (L-series)","NR-L007-02","L007-ZnS07","TRC-L007-02","literature_structured","InP/ZnS","modified_SILAR","","no","178","840","575","","final_purified","7 SILAR iter ZnS; 2.0 ML; diam 3.4nm; FWHM 54nm; QY_PR=25.76%; QY_treated=27.64%; QY_two_states_Table_S2; no_single_QY_value [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","54"
"L007","InP (L-series)","NR-L007-03","L007-ZnS10","TRC-L007-03","literature_structured","InP/ZnS","modified_SILAR","","no","178","840","582","","final_purified","10 SILAR iter ZnS; 3.3 ML; diam 4.1nm; FWHM 57nm; QY_PR=25.73%; QY_treated=28.84%; QY_two_states_Table_S2; no_single_QY_value [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","57"
"L007","InP (L-series)","NR-L007-04","L007-ZnSe04","TRC-L007-04","literature_structured","InP/ZnSe","modified_SILAR","","no","178","840","581","","final_purified","4 SILAR iter ZnSe; 1.9 ML; diam 3.4nm; FWHM 58nm; QY_PR=16.07%; QY_treated=28.70%; QY_two_states_Table_S2; no_single_QY_value; no_ZnS_cap [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","58"
"L007","InP (L-series)","NR-L007-05","L007-ZnSe07","TRC-L007-05","literature_structured","InP/ZnSe","modified_SILAR","","no","178","840","597","","final_purified","7 SILAR iter ZnSe; 3.4 ML; diam 4.2nm; FWHM 54nm; QY_PR=8.40%; QY_treated=29.32%; QY_two_states_Table_S2; no_single_QY_value; QY_excitation_dependent; no_ZnS_cap; QY_excitation_dependent (20% vs 47%) [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","54"
"L007","InP (L-series)","NR-L007-06","L007-ZnSe10","TRC-L007-06","literature_structured","InP/ZnSe","modified_SILAR","","no","178","840","599","","final_purified","10 SILAR iter ZnSe; 4.1 ML; diam 4.6nm; FWHM 54nm; QY_PR=8.95%; QY_treated=20.42%; QY_two_states_Table_S2; no_single_QY_value; no_ZnS_cap [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","54"
"L007","InP (L-series)","NR-L007-07","L007-ZnSeS01","TRC-L007-07","literature_structured","InP/ZnSe/ZnS","modified_SILAR","","no","178","840","585","","final_purified","1 ZnSe iter + 3 ZnS cap; 0.7 ML ZnSe + 0.2 ML ZnS; diam 2.8nm; FWHM 52nm; QY_SI_table_pending; ZnSe_sub_monolayer [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","52"
"L007","InP (L-series)","NR-L007-08","L007-ZnSeS04","TRC-L007-08","literature_structured","InP/ZnSe/ZnS","modified_SILAR","","no","178","840","593","","final_purified","4 ZnSe iter + 3 ZnS cap; +0.9 ML ZnS; diam 3.9nm; FWHM 55nm; QY_PR=14.12%; QY_treated=24.71%; QY_two_states_Table_S2; no_single_QY_value [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","55"
"L007","InP (L-series)","NR-L007-09","L007-ZnSeS07","TRC-L007-09","literature_structured","InP/ZnSe/ZnS","modified_SILAR","","no","178","840","595","","final_purified","7 ZnSe iter + 3 ZnS cap; +1.5 ML ZnS; diam 5.0nm; FWHM 55nm; QY_PR=25.61%; QY_treated=33.81%; QY_two_states_Table_S2; no_single_QY_value [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","55"
"L007","InP (L-series)","NR-L007-10","L007-ZnSeS10","TRC-L007-10","literature_structured","InP/ZnSe/ZnS","modified_SILAR","","no","178","840","596","","final_purified","10 ZnSe iter + 3 ZnS cap; +1.8 ML ZnS; diam 5.6nm; FWHM 51nm; QY_PR=13.73%; QY_treated=25.50%; QY_two_states_Table_S2; no_single_QY_value [EXTGAP-FILL: t blank→840 (14h at 178C, Sec 4.5 ""heated at 178C for 14h"")]","table","1","0","0","0","","0","0","0","0","","51"
"L009","InP (L-series)","NR-L009-01","L009-ZnSeZnS","TRC-L009-01","literature_structured","InP/ZnSe/ZnS","hot_injection_MSC_mediated","","no","150","","528","","final_purified","Samsung green QD; PL 528nm FWHM 36nm QY 95.4±2.1% (text explicit); diam 6.0nm; ZnSe 1.5nm + ZnS 0.5nm; MSC-mediated core at 150C; In(Zn)P_boundary:Zn_role_ambiguous","main_text","1","0","0","0","","0","0","1","0","95.4","36"
"L009","InP (L-series)","NR-L009-02","L009-ZnS","TRC-L009-02","literature_structured","InP/ZnS","hot_injection_MSC_mediated","","no","150","","505","","final_purified","Comparison sample; PL 505nm FWHM 50nm QY 46% (text explicit); ZnS 1.0nm shell; 220-280C shell growth; In(Zn)P_boundary:Zn_role_ambiguous","main_text","1","0","0","0","","0","0","0","0","46","50"
"L010","InP (L-series)","NR-L010-01","L010-Blue","TRC-L010-01","literature_structured","InP/(Al)ZnS","one_pot_gram_scale","","no","160","10","480","","final_purified","Blue QD; PL 480nm FWHM 50.2nm QY 34%; Al-doped; process_events_pending; Al_boundary:location_ambiguous [EXTGAP-FILL: T/t blank→160/10 (Blue: InI3+ZnI2 160C/10min (Sec 3.4))]","SI_table","1","0","0","0","","0","0","0","0","34","50.2"
"L010","InP (L-series)","NR-L010-02","L010-Green","TRC-L010-02","literature_structured","InP/(Al)ZnS","one_pot_gram_scale","","no","180","10","509","","final_purified","Green QD; PL 509nm FWHM 56.3nm QY 62%; Al-doped; process_events_pending; Al_boundary:location_ambiguous [EXTGAP-FILL: T/t blank→180/10 (Green: InI3+ZnBr2 180C/10min (Sec 3.4))]","SI_table","1","0","0","0","","0","0","0","0","62","56.3"
"L010","InP (L-series)","NR-L010-03","L010-Yellow","TRC-L010-03","literature_structured","InP/(Al)ZnS","one_pot_gram_scale","","no","170","20","560","","final_purified","Yellow QD; PL 560nm FWHM 61.6nm QY 86%; Al-doped; process_events_pending; Al_boundary:location_ambiguous [EXTGAP-FILL: T/t blank→170/20 (Yellow: InBr3+ZnBr2 170C/20min (Sec 3.4))]","SI_table","1","0","0","0","","0","0","0","0","86","61.6"
"L010","InP (L-series)","NR-L010-04","L010-Orange","TRC-L010-04","literature_structured","InP/(Al)ZnS","one_pot_gram_scale","","no","175","30","600","","final_purified","Orange QD; PL 600nm FWHM 57.2nm QY 96%; Al-doped; process_events_pending; Al_boundary:location_ambiguous [EXTGAP-FILL: T/t blank→175/30 (Orange: InCl3+ZnCl2 175C/30min (Sec 3.4))]","SI_table","1","0","0","0","","0","0","0","0","96","57.2"
"L010","InP (L-series)","NR-L010-05","L010-Red-B1","TRC-L010-05","literature_structured","InP/(Al)ZnS","one_pot_gram_scale","","no","200","30","629","","final_purified","Red QD Batch 1 (representative); PL 629nm FWHM 59.0nm QY 72%; representative_selected_from_batch_series; median_batch_selected; Al_boundary:location_ambiguous; process_events_pending [EXTGAP-FILL: T/t blank→200/30 (Red: InCl3+ZnCl2 200C/30min (Sec 2.4))]","SI_table","1","0","0","0","","0","0","0","0","72","59"
"L011","InP (L-series)","NR-L011-01","L011-RQ1","TRC-L011-01","literature_structured","InP/ZnSe/ZnS","aminophosphine_one_pot_HF","","no","180","20","670","","final_purified","RQ1 deep red; PL 670nm FWHM 50nm QY 60%; abs 642nm; size 10.5nm; 3DMA-P + HF etching; ZnSe_thin_thick_variant:pending [EXTGAP-FILL: T/t blank→180/20 (tR from Table 1, core reflux at 180C)]","table","1","0","0","0","","0","0","0","0","60","50"
"L011","InP (L-series)","NR-L011-02","L011-RQ2","TRC-L011-02","literature_structured","InP/ZnSe/ZnS","aminophosphine_one_pot_HF","","no","180","20","666","","final_purified","RQ2; PL 666nm FWHM 52nm QY 66%; abs 631nm; size 10.3nm; ZnSe_thin_thick_variant:pending [EXTGAP-FILL: T/t blank→180/20 (tR from Table 1, core reflux at 180C)]","table","1","0","0","0","","0","0","0","0","66","52"
"L011","InP (L-series)","NR-L011-03","L011-RQ3","TRC-L011-03","literature_structured","InP/ZnSe/ZnS","aminophosphine_one_pot_HF","","no","180","17","654","","final_purified","RQ3; PL 654nm FWHM 47nm QY 68%; abs 621nm; size 10.6nm; ZnSe_thin_thick_variant:pending [EXTGAP-FILL: T/t blank→180/17 (tR from Table 1, core reflux at 180C)]","table","1","0","0","0","","0","0","0","0","68","47"
"L011","InP (L-series)","NR-L011-04","L011-RQ4","TRC-L011-04","literature_structured","InP/ZnSe/ZnS","aminophosphine_one_pot_HF","","no","180","12","642","","final_purified","RQ4; PL 642nm FWHM 45nm QY 71%; abs 611nm; size 10.7nm; ZnSe_thin_thick_variant:pending [EXTGAP-FILL: T/t blank→180/12 (tR from Table 1, core reflux at 180C)]","table","1","0","0","0","","0","0","0","0","71","45"
"L011","InP (L-series)","NR-L011-05","L011-RQ5","TRC-L011-05","literature_structured","InP/ZnSe/ZnS","aminophosphine_one_pot_HF","","no","180","8","632","","final_purified","RQ5; PL 632nm FWHM 44nm QY 74%; abs 601nm; size 11.0nm; highest QY; ZnSe_thin_thick_variant:pending [EXTGAP-FILL: T/t blank→180/8 (tR from Table 1, core reflux at 180C)]","table","1","0","0","0","","0","0","0","0","74","44"
"L011","InP (L-series)","NR-L011-06","L011-RQ6","TRC-L011-06","literature_structured","InP/ZnSe/ZnS","aminophosphine_one_pot_HF","","no","180","5","626","","final_purified","RQ6; PL 626nm FWHM 49nm QY 69%; abs 592nm; size 10.3nm; ZnSe_thin_thick_variant:pending [EXTGAP-FILL: T/t blank→180/5 (tR from Table 1, core reflux at 180C)]","table","1","0","0","0","","0","0","0","0","69","49"
"L012","InP (L-series)","NR-L012-01","L012-S01","TRC-L012-01","literature_structured","InP/ZnSe/ZnS","hot_injection","","","270","","618","","final_purified","Stoichiometry-controlled InP/ZnSe/ZnS; PL ~618nm FWHM 42nm; QY near-unity (exact % pending Table S1 manual read); size 7.8±0.5nm; QY 93±3% after 1mo ambient; In:P ~1:1 by EDS; HAc removal Ar bubbling 30min 150C; purification before thick shell; entropic ligands laurate+stearate; 6ML ZnSe 300C 15 cycles + 2ML ZnS 4 cycles; caution: PL is approximate (~618); caution: QY exact numeric unresolved","supplementary_text","1","1","0","1","In:P_atomic_EDS","1","0","1","1","","42"
"L013","InP (L-series)","NR-L013-01","L013-S01","TRC-L013-01","literature_structured","InP/ZnSe/ZnS","aminophosphine_InBr3","","","185","60","621","","final_purified","InBr3-based red InP/thick-ZnSe/ZnS; PL 621nm FWHM 44nm QY 86%; (DMA)3P aminophosphine + InBr3 unconventional In halide; core 185C 60min in OLA; thick-ZnSe 320C 60min; ZnS 320C 60min; OTT 220C 30min; Zn(OAc)2/OA 190C 30min; core 3.4nm thick-ZnSe 8.1nm final 8.8nm; route aminophosphine_InBr3 confirmed (HOLD-L013-01 resolved option_A)","main_text","1","1","0","0","","0","0","1","0","86","44"
"L015","InP (L-series)","NR-L015-01","L015-S01","TRC-L015-01","literature_structured","InP/ZnSe/ZnSeS/ZnS","aminophosphine_one_pot_GHAS","","","200","6","522","","final_purified","InP/ZnSe/ZnSeS/ZnS green QDs; PL 522nm FWHM 36nm QY 86%; one-pot aminophosphine (DMA)3P + InCl3 + ZnI2 in OLA; gradient heating alloy shell (GHAS) ZnSeS 240->260->280C; ZnSe inner 240C Se/TOP 2mL/h; ZnS outer 300C OTT 1.6mL/h; core 200C 6min; no SI available; system_tag InP/ZnSe/ZnSeS/ZnS confirmed (HOLD-L015-01 resolved option_A); route aminophosphine_one_pot_GHAS confirmed (HOLD-L015-02 resolved option_A)","main_text","1","0","0","0","","0","1","1","0","86","36"
"L016","InP (L-series)","NR-L016-01","L016-S01","TRC-L016-01","literature_structured","InP/ZnS","aminophosphine","","","170","20","521","","final_purified","InP/ZnS-DDT/300 green QDs; PL 521nm QY 85%; P(DEA)3 tris(diethylamino)phosphine + InCl3 + ZnCl2/ZnI2 in OLA; DDT as S source generating H2S in-situ at 300C for interface engineering; core 170C 20min; ZnS shell 300C 1h; FWHM not stated in text; route=aminophosphine (HOLD-L016-01 resolved option_B; DDT/H2S detail in notes)","supplementary_text","1","0","0","0","","0","0","1","0","85",""
"L017","InP (L-series)","NR-L017-01","L017-S01","TRC-L017-01","literature_structured","InP/ZnS","aminophosphine","","","180","5","540","","final_purified","InP/ZnS green QDs for temperature sensor; PL ~540nm (caution: tilde approximate); QY 31% FWHM 46nm; P(DMA)3 + InCl3 + ZnCl2 in OLA; shell ZnO-derived Zn precursor + S/TOP at 180C 3h; core 180C 5min; route=aminophosphine (HOLD-L017-01 resolved option_A); caution: PL is approximate (~540)","main_text","1","0","0","0","","0","0","0","1","31","46"
"L018","InP (L-series)","NR-L018-01","L018-S01","TRC-L018-01","literature_structured","InP/ZnSe/ZnS","aminophosphine","","","180","4","528","","final_purified","InP/ZnSe/ZnS green QDs; PL 528nm QY 90% FWHM 37nm; P(DEA)3 tris(diethylamino)phosphine + InI3 + ZnCl2 in OLA; ZnSe 200C→290C 30+30min; ZnS 300C 2h; alkanethiol 220C 60min; Zn(OAc)2/OA 190C 120min; core 180C 4min; route=aminophosphine (HOLD-L018-01 resolved option_B; DEAP+InI3 detail in notes)","main_text","1","1","0","0","","0","0","1","0","90","37"
"L014","InP (L-series)","NR-L014-01","L014-S01","TRC-L014-01","literature_structured","InP/ZnSe/ZnS","hot_injection","no","no","240","10","535","","final_purified","InP/ZnSe/ZnS green QDs via ZnBr2 hybrid shelling; PL 533nm (caution: value from SI Fig 3B author-labeled numeric annotation on spectrum — not body-text explicit, but distinct from curve-read estimate); QY unity/100% (text; SI Fig 5: 99.25-99.76% across 3 batches; raw provenance preserved); FWHM 32nm (text); (TMS)3P silylphosphine core 240C 10min; ZnBr2 5mmol + Zn(OAc)2 hybrid co-injection shelling; ZnSe inner shell 300C 60min medium thickness tZnSe=1.8nm; ZnS outer shell 300C 60min; OTT passivation 230C 60min; route=hot_injection (conservative generic; ZnBr2 hybrid detail preserved in notes only); open_access CC-BY-4.0; Jo2024 Soft Science [HALLUC-PATCH: PL 533→535; 533 was non-hybrid ZnBr2-only sample (SI Fig 3B). Corrected to hybrid champion InP-ZnBr2-Zn(OA)2/ZnSe/ZnS from Fig 4B (QY=100%, FWHM=32nm)]","main_text","1","1","0","0","","0","0","1","1","100","32"
"L019","InP (L-series)","NR-L019-01","L019-S01","TRC-L019-01","literature_structured","InP/GaP/ZnS","heating_up","no","no","300","10","530","","final_purified","Green InP/GaP/ZnS QDs via heating-up; PL 530nm QY 85% (max 90%) FWHM 41nm; In(OAc)3 0.24mmol + Zn(OAc)2 1mmol + myristic acid + (TMS)3P 0.19mmol + GaCl3 0.085mmol in ODE; heated RT→300C in 10min then 10min at 300C; t-DDT 0.25mL + ZnOleate 2mmol + DDT 0.75mL for ZnS shell; GaP inner shell from GaCl3 reaction >200C (detail in notes only; route=heating_up generic); open_access CC-BY-4.0; Park2016 Sci Rep","main_text","1","0","0","0","","0","0","1","0","85","41"
"L019","InP (L-series)","NR-L019-02","L019-S02","TRC-L019-02","literature_structured","InP/GaP/ZnS","heating_up","no","no","300","10","480","","final_purified","Blue InP/GaP/ZnS QDs; PL 480nm QY ~40% (caution: tilde approximate; max 50%) FWHM 50nm; same core precursors as green; DDT 1mmol injected at ~200-270C during ramp to restrict core growth; TEM 2.7nm; route=heating_up (GaP detail in notes); Park2016 Sci Rep","main_text","1","0","0","0","","0","0","1","1","40","50"
"L019","InP (L-series)","NR-L019-03","L019-S03","TRC-L019-03","literature_structured","InP/GaP/ZnS","heating_up","no","no","300","10","620","","final_purified","Red InP/GaP/ZnS QDs; PL 620nm QY ~60% (caution: tilde approximate; max 65%) FWHM 65nm (abstract; Discussion says 60nm — discrepancy noted in trace); double GaCl3 0.17mmol for thicker GaP → red shift; TEM 4.1nm; route=heating_up (GaP detail in notes); Park2016 Sci Rep","main_text","1","0","0","0","","0","0","1","1","60","65"
"L020","InP (L-series)","NR-L020-01","L020-S01","TRC-L020-01","literature_structured","InP/GaP/ZnS","heating_up","no","no","300","60","485","","final_purified","Blue InP/GaP/ZnS optimized; PL 485nm QY 45% FWHM 52nm; LA (lauric acid C12) capping + HT (hexanethiol C6) sulfur source at 185C; ZnOleate 6mmol + DDT 3mL at 300C 60min for thick shell; In(OAc)3 0.48mmol + Zn(OAc)2 1.99mmol + (TMS)3P 0.38mmol + GaCl3 0.17mmol; heating-up 26.1C/min; GaP inner shell from GaCl3 (detail in notes; route=heating_up generic); TEM 6.3nm spherical; no SI available; open_access MDPI CC-BY; Lee2020 Nanomaterials","main_text","1","0","0","0","","0","0","1","0","45","52"
"L020","InP (L-series)","NR-L020-02","L020-S02","TRC-L020-02","literature_structured","InP/GaP/ZnS","heating_up","no","no","300","10","497","","final_purified","InP/GaP/ZnS HT sulfur source at 230C; PL 497nm FWHM 59nm; QY not text-stated (figure-only excluded); same core precursors; shell ZnOleate+DDT 300C 10min; no SI; Lee2020 Nanomaterials","main_text","1","0","0","0","","0","0","0","1","","59"
"L021","InP (L-series)","NR-L021-01","L021-S01","TRC-L021-01","literature_structured","InP/ZnS/ZnS","heating_up","no","no","170","30","465","","final_purified","Blue InP/ZnS/ZnS from NaOCP; PL 465nm QY 43% FWHM 42nm; NaOCP (sodium phosphaethynolate) inorganic solid P precursor — novel non-toxic alternative to (TMS)3P and aminophosphines (precursor detail in notes; route=heating_up generic); InCl3 1mmol + ZnCl2 5mmol + NaOCP 5mmol + 20mL OLA; core 170C 30min; DDT-based ZnS/ZnS dual shell at 310C then 240C; SI has full protocol; Yu2021 ACS Energy Lett","supplementary_text","1","0","0","0","","0","0","1","0","43","42"
