cossairt_ref_id,first_author,year,journal,title,doi,PL_nm,QY_pct,FWHM_nm,system_description,synthesis_condition_note,cossairt_table_or_figure,value_source_note,matched_to_L_series,matched_paper_id,matching_confidence,mismatch_reason
COS-011,NR,NR,NR,NR,10.1016/j.apsusc.2019.01.067,550,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride/indium myristate; P:tris(diethylamino)phosphine/tris(trimethylsilyl)phosphine; T=140-300C; t=5-30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=14; emission_nm=550; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-012,NR,NR,NR,NR,10.1016/j.jallcom.2013.08.003,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:phosphine gas; T=200-260C; t=15min; d=2.5-4.3nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-013,NR,NR,NR,NR,10.1016/j.jcis.2010.06.037,612,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:chloroindium oxalate; P:tris(trimethylsilyl)phosphine; T=280C; t=4320min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=612; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-014,NR,NR,NR,NR,10.1016/j.jcis.2010.12.013,590,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=180C; t=1440min; d=2.3-3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=590; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-015,NR,NR,NR,NR,10.1016/j.jcis.2020.03.110,560,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=180C; t=30min; d=3.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=560; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-016,NR,NR,NR,NR,10.1016/j.jiec.2019.10.021,507-530 (n=5),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=300C; t=10min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=5; emission_nm=507-530 (n=5); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-017,NR,NR,NR,NR,10.1016/j.jlumin.2020.117297,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=220C; t=0-10min; d=2.1-3.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-018,NR,NR,NR,NR,10.1016/j.matchemphys.2005.07.041,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:sodium phosphide; T=130C; t=2880min; d=5.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-019,NR,NR,NR,NR,10.1016/s0167-577x(03)00371-9,550,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:sodium phosphide; T=160C; t=120min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=550; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-020,NR,NR,NR,NR,10.1021/5b02138,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride/indium bromide/indium iodide; P:tris(diethylamino)phosphine; T=180C; t=30min; d=2.8-3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=3; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-021,NR,2020,Chem. Mater.,Cation-Exchange InGaP Alloy QDs Blue Emissivity,10.1021/acs.chemmater.0c00551,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium iodide; P:tris(dimethylamino)phosphine; T=180C; t=3min; d=1.7nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L044,exact,
COS-022,NR,NR,NR,NR,10.1021/acs.chemmater.0c00781,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(diethylamino)phosphine ; T=180C; t=3-120min; d=2.5nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-023,NR,NR,NR,NR,10.1021/acs.chemmater.6b02456,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=220C; t=0min; d=3.6-4.6nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-024,Bang E. et al.,2017,Chem. Mater.,Large-Scale Synthesis of Highly Luminescent InP@ZnS QDs Using Elemental Phosphorus Precursor,10.1021/acs.chemmater.7b00254,482-635 (n=5),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride/indium iodide; P:white phosphorus; T=150-210C; t=30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=5; emission_nm=482-635 (n=5); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L023,exact,
COS-025,NR,NR,NR,NR,10.1021/acs.chemmater.7b01648,558,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=300C; t=20min; d=4.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=558; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-026,Ramasamy P.,2017,Chem. Mater.,"Tunable, Bright, and Narrow-Band Luminescence from Colloidal Indium Phosphide Quantum Dots",10.1021/acs.chemmater.7b02204,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=305C; t=2-180min; d=1.8nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=3; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L006,exact,
COS-027,NR,NR,NR,NR,10.1021/acs.chemmater.7b04069,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),"In:indium tris(N,N-diisopropylacetamidinato); P:tris(trimethylsilyl)phosphine; T=150-230C; t=1260min; d=2.0-4.1nm",dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-028,NR,NR,NR,NR,10.1021/acs.chemmater.8b01789,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(diethylamino)phosphine; T=180C; t=30min; d=3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-029,NR,NR,NR,NR,10.1021/acs.chemmater.8b02590,579-618 (n=2),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate/indium chloride; P:tris(diethylamino)phosphine/tris(trimethylsilyl)phosphine; T=180-285C; t=20min; d=2.4-2.9nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=579-618 (n=2); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-030,NR,NR,NR,NR,10.1021/acs.inorgchem.0c03117,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium paltimate; P:tris(trimethylsilyl)phosphine; T=305C; t=10min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-031,NR,NR,NR,NR,10.1021/acs.jpcc.0c09601,595,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=305C; t=20min; d=3.1nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=595; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-032,NR,NR,NR,NR,10.1021/acs.jpcc.9b07092,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=180C; t=5min; d=3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-033,NR,NR,NR,NR,10.1021/acs.jpclett.9b01824,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(diethylamino)phosphine; T=180C; t=20min; d=3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-034,NR,2019,J. Phys. Chem. Lett.,Blue-Emitting InP/ZnS Core/Shell QDs with Cu Cation Assistance,10.1021/acs.jpclett.9b02386,625,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=200C; t=60min; d=2.0-4.3nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=625; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L038,exact,
COS-035,Chandrasekaran V. et al.,2017,Nano Lett.,Nearly Blinking-Free Single-Photon Emission by InP/ZnSe QDs,10.1021/acs.nanolett.7b02634,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(diethylamino)phosphine; T=180C; t=20min; d=3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L034,exact,
COS-036,NR,NR,NR,NR,10.1021/acs.nanolett.7b03703,590,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium myristate; P:tris(trimethylsilyl)phosphine; T=300C; t=30min; d=3.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=590; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-037,NR,NR,NR,NR,10.1021/acsami.7b19144,620,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(trimethylsilyl)phosphine; T=210C; t=20min; d=1.9nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=620; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-038,Jo J.-H. et al.,2020,ACS Appl. Nano Mater.,InP-Based QDs with Composition-Gradient ZnSeS/ZnS,10.1021/acsanm.0c00008,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium iodide; P:tris(dimethylamino)phosphine; T=180C; t=2min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L029,exact,
COS-039,NR,NR,NR,NR,10.1021/acsanm.1c00336,592,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=200C; t=20min; d=2.6nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=592; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-040,Kim Y.,2019,ACS Appl. Nano Mater.,Bright and Uniform Green Light Emitting InP/ZnSe/ZnS Quantum Dots for Wide Color Gamut Displays,10.1021/acsanm.8b02063,477,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=240C; t=60min; d=2.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=477; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L009,exact,
COS-041,NR,NR,NR,NR,10.1021/acsenergylett.0c02165,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=310C; t=10min; d=3.2nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-042,NR,NR,NR,NR,10.1021/acsnano.0c08683,542-558 (n=4),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=230C; t=5-15min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=4; emission_nm=542-558 (n=4); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-043,Kim T.-G.,2018,ACS Nano,Trap Passivation and Surface Fluorination of InP-Based Quantum Dots,10.1021/acsnano.8b06692,615,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=280C; t=20min; d=2.5-3.3nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=2; emission_nm=615; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L031,exact,
COS-044,NR,NR,NR,NR,10.1021/cm050110a,607,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium stearate; P:tris(trimethylsilyl)phosphine; T=260C; t=1min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=607; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-045,NR,NR,NR,NR,10.1021/cm201550w,480,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=300C; t=10min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=480; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-046,NR,NR,NR,NR,10.1021/cm401289j,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:bis(trimethylsilyl)phosphine/tris(trimethylsilyl)phosphine; T=285C; t=8min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=3; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-047,NR,NR,NR,NR,10.1021/cm7035579,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:phosphine gas; T=290C; t=30min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-048,NR,NR,NR,NR,10.1021/j100019a063,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:chloroindium oxalate; P:tris(trimethylsilyl)phosphine; T=270-300C; t=4320min; d=2.6-4.6nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=3; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-049,NR,NR,NR,NR,10.1021/j100070a004,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:chloroindium oxalate; P:tris(trimethylsilyl)phosphine; T=270C; t=4320-8640min; d=2.5-2.7nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=3; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-050,NR,NR,NR,NR,10.1021/ja076363h,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=178C; t=0-60min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=12; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-051,NR,NR,NR,NR,10.1021/ja104673y,591,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=270C; t=180min; d=2.7nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=591; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-052,NR,NR,NR,NR,10.1021/ja309863n,572-641 (n=6),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium myristate; P:tris(trimethylsilyl)phosphine/tris(trimethylgermyl)phosphine; T=210C; t=10-20min; d=2.7-3.6nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=6; emission_nm=572-641 (n=6); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-053,NR,NR,NR,NR,10.1021/jp9704731,600-775 (n=6),NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium oxalate; P:tris(trimethylsilyl)phosphine; T=250-300C; t=4320min; d=2.6-6.0nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=6; emission_nm=600-775 (n=6); QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-054,NR,NR,NR,NR,10.1021/nl025687v,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=270C; t=5-180min,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=23; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
COS-055,Won Y.-H.,2019,Nature,Highly efficient and stable InP/ZnSe/ZnS quantum dot light-emitting diodes,10.1038/s41586-019-1771-5,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium acetate; P:tris(trimethylsilyl)phosphine; T=260C; t=1-40min; d=2.7nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=3; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,yes,L002,exact,
COS-056,NR,NR,NR,NR,10.1038/s42004-019-0138-z,NR,NR,NR,InP core (Cossairt 2022 ML training entry; no shell info in dataset),In:indium chloride; P:tris(dimethylamino)phosphine; T=180C; t=30min; d=2.5nm,dataset_InP_raw.csv (SI download; raw extended dataset),n_syntheses=1; emission_nm=NR; QY/FWHM not present in any of 3 SI CSVs (dataset_InP_raw / hao / flo) — Cossairt ML excluded these features,no,,none,DOI not present in paper_tracker (tracker has 56 L-series papers)
